[2022-03-29 22:53:31,010] DEBUG: 	Waking up worker...
[2022-03-29 22:54:26,089] DEBUG: 	Jobs polled LIHKGThreads worker...
[2022-03-29 22:54:26,089] DEBUG: 	LIHKGThreads worker received job LIHKGThreadsJob(LIHKGThreadId=2940448, page=1, isFullFetch=False, CreateTime=datetime.datetime(2022, 3, 29, 14, 53, 25, 722373))
[2022-03-29 22:54:26,090] INFO: 	Received fetch on LIHKGThreadId: 2940448, Page: 1
[2022-03-29 22:54:26,090] DEBUG: 	Generated website url: https://lihkg.com/thread/2940448/page/1
[2022-03-29 22:54:26,091] DEBUG: 	Generated API url prefix: https://lihkg.com/api_v2/thread/2940448/page/1
[2022-03-29 22:54:26,092] INFO: 	Now fetching...
[2022-03-29 22:54:49,349] INFO: 	Successful fetch on website=https://lihkg.com/thread/2940448/page/1, API prefix=https://lihkg.com/api_v2/thread/2940448/page/1
[2022-03-29 22:54:49,432] DEBUG: 	Fetched thread: <Thread(LIHKGThreadId=2940448, Title=WFH咗大半年，今日一著返西裝返工就出事, LikeCount=2417, DislikeCount=16, MessagesCount=0, User_UserId=None>
[2022-03-29 22:54:49,433] DEBUG: 	Fetched user: <User(LIHKGUserId=394654, Nickname=科興揸弗人, Gender=M, CreateDate=1615622760, LastUpdate=1615622760, RetrievedDate=None)>
[2022-03-29 22:54:49,433] DEBUG: 	Fetched messages count: 25
[2022-03-29 22:54:49,433] INFO: 	Persisting the found thread to database
[2022-03-29 22:54:49,434] INFO: 	Received add thread request.
[2022-03-29 22:54:49,435] DEBUG: 	Thread=<Thread(LIHKGThreadId=2940448, Title=WFH咗大半年，今日一著返西裝返工就出事, LikeCount=2417, DislikeCount=16, MessagesCount=0, User_UserId=None>
[2022-03-29 22:54:49,436] DEBUG: 	User=<User(LIHKGUserId=394654, Nickname=科興揸弗人, Gender=M, CreateDate=1615622760, LastUpdate=1615622760, RetrievedDate=None)>
[2022-03-29 22:54:49,436] DEBUG: 	Number of messages=25
[2022-03-29 22:54:49,621] INFO: 	Author of the thread is a new user.
[2022-03-29 22:54:49,621] INFO: 	Adding user...
[2022-03-29 22:54:49,621] DEBUG: 	<User(LIHKGUserId=394654, Nickname=科興揸弗人, Gender=M, CreateDate=1615622760, LastUpdate=1615622760, RetrievedDate=None)>
[2022-03-29 22:54:50,352] INFO: 	User <User(LIHKGUserId=394654, Nickname=科興揸弗人, Gender=M, CreateDate=1615622760, LastUpdate=1615622760, RetrievedDate=2022-03-29 14:54:49)> added!
[2022-03-29 22:54:50,723] INFO: 	No existing matching thread for 2940448 found. Creating one new thread...
[2022-03-29 22:55:00,219] DEBUG: 	Job LIHKGThreadsJob(LIHKGThreadId=2940448, page=1, isFullFetch=False, CreateTime=datetime.datetime(2022, 3, 29, 14, 53, 25, 722373)) finished
[2022-04-11 20:27:41,854] DEBUG: 	Waking up worker...
